Wavelength,Flux,BestFit,SkyFlux
4047.622,78.661,59.935,26.435
4048.555,61.284,50.611,27.116
4049.486,50.008,49.122,23.133
4050.420,49.267,47.304,19.828
4051.352,53.446,44.562,19.064
4052.286,55.839,50.840,18.325
4053.218,56.400,54.291,16.934
4054.151,64.954,57.876,16.264
4055.086,64.690,61.204,16.557
4056.019,59.255,64.242,16.493
4056.954,62.123,65.777,15.527
4057.887,64.970,66.008,14.606
4058.823,64.779,72.967,14.696
4059.757,65.478,75.275,15.275
4060.691,65.318,75.702,16.482
4061.627,71.615,75.839,17.336
4062.561,67.810,75.283,16.961
4063.498,71.480,74.847,16.225
4064.433,71.060,76.911,15.935
4065.370,67.466,79.940,16.767
4066.305,68.937,81.555,17.744
4067.241,70.888,82.775,17.489
4068.179,73.158,84.500,16.994
4069.115,70.274,84.007,17.869
4070.053,73.392,77.846,18.428
4070.989,73.721,81.421,17.361
4071.928,68.851,82.089,16.183
4072.865,68.745,80.537,15.845
4073.802,68.366,79.912,15.815
4074.741,71.779,77.859,16.409
4075.679,73.126,80.693,17.406
4076.618,66.783,79.816,17.933
4077.556,69.452,76.759,17.532
4078.497,68.378,75.574,17.258
4079.435,66.283,76.876,17.151
4080.373,69.359,77.501,17.136
4081.314,65.947,76.707,18.059
4082.253,65.919,80.377,18.612
4083.194,68.236,81.080,17.981
4084.134,65.160,77.877,16.582
4085.076,61.188,74.124,15.549
4086.015,62.638,72.275,15.918
4086.955,62.610,72.467,17.150
4087.898,60.859,67.038,17.740
4088.838,62.374,63.988,17.765
4089.781,58.332,58.529,17.437
4090.722,58.223,50.463,17.086
4091.665,56.240,48.643,16.671
4092.606,53.425,43.370,16.070
4093.548,54.833,40.494,15.878
4094.492,61.103,49.017,16.167
4095.434,64.034,60.484,16.000
4096.378,62.083,67.271,15.424
4097.321,66.286,71.461,15.278
4098.265,67.693,69.913,14.951
4099.208,67.116,71.243,14.553
4100.151,69.409,78.291,14.397
4101.097,69.338,80.116,13.701
4102.040,68.714,75.257,12.427
4102.986,69.363,76.173,11.581
4103.930,66.807,78.630,11.870
4104.876,67.683,80.340,12.871
4105.821,74.012,77.680,13.633
4106.768,71.294,75.752,14.160
4107.712,71.739,76.420,14.942
4108.657,72.168,75.286,15.531
4109.605,69.341,77.003,15.504
4110.550,68.649,77.227,15.131
4111.498,68.432,74.393,14.781
4112.444,66.568,73.502,14.848
4113.392,65.360,75.229,15.181
4114.338,67.036,74.545,15.458
4115.285,68.507,75.280,15.931
4116.234,66.971,72.640,16.410
4117.181,67.401,70.086,16.408
4118.130,65.665,71.141,16.322
4119.078,63.766,73.236,15.761
4120.027,61.881,70.071,15.161
4120.975,62.266,64.490,15.225
4121.923,62.394,63.579,15.499
4122.874,60.844,61.310,15.878
4123.822,59.001,56.709,16.292
4124.773,57.566,51.359,16.661
4125.722,56.211,46.308,16.659
4126.673,54.820,45.290,16.603
4127.623,53.305,42.063,16.425
4128.572,56.428,41.477,16.011
4129.524,60.081,48.047,16.247
4130.474,79.874,57.523,15.913
4131.427,81.167,58.819,15.090
4132.377,67.409,50.719,14.871
4133.330,54.058,46.166,15.020
4134.281,48.368,42.004,15.231
4135.232,49.964,42.676,15.569
4136.186,53.300,47.914,16.300
4137.137,56.761,49.060,16.762
4138.091,60.259,52.108,16.836
4139.043,62.763,56.796,16.981
4139.998,63.592,62.461,16.518
4140.950,65.984,64.891,16.916
4141.903,63.942,64.509,16.603
4142.858,65.855,66.511,14.825
4143.811,67.670,66.547,13.403
4144.766,65.391,67.575,13.363
4145.720,66.324,70.132,14.161
4146.676,69.655,72.101,14.912
4147.630,70.339,72.333,15.728
4148.584,69.683,72.425,15.505
4149.541,71.485,74.377,14.615
4150.495,66.847,77.781,14.384
4151.452,72.466,79.363,14.521
4152.407,72.059,77.346,14.625
4153.365,71.777,75.907,14.612
4154.320,75.108,79.934,14.602
4155.276,73.326,79.422,15.019
4156.234,70.178,79.900,15.661
4157.190,72.180,75.236,16.326
4158.149,72.247,71.596,16.391
4159.106,68.578,74.427,16.210
4160.065,71.011,77.539,16.413
4161.022,70.037,75.219,16.858
4161.979,69.497,77.882,17.264
4162.939,72.179,79.907,17.313
4163.896,71.588,80.329,17.600
4164.857,70.557,79.368,18.448
4165.815,73.439,75.624,18.832
4166.775,73.010,74.537,18.064
4167.734,70.406,73.256,17.740
4168.693,66.626,73.212,17.800
4169.654,71.299,74.822,18.067
4170.613,65.723,75.777,18.085
4171.575,68.908,74.663,17.626
4172.535,69.489,77.335,17.052
4173.497,65.681,77.301,16.453
4174.457,68.053,78.436,15.872
4175.417,72.299,79.725,15.322
4176.380,70.649,78.502,15.474
4177.341,71.700,75.926,15.430
4178.304,70.614,75.789,15.722
4179.265,70.455,80.654,16.342
4180.229,68.493,84.044,16.635
4181.191,74.303,83.321,16.491
4182.155,76.864,80.979,15.711
4183.117,74.030,81.594,14.951
4184.079,73.161,85.297,14.669
4185.044,71.796,77.951,14.943
4186.007,68.362,71.574,15.267
4186.972,67.953,72.947,14.871
4187.935,67.011,76.450,13.856
4188.901,68.751,74.146,13.136
4189.865,69.737,75.209,14.196
4190.829,70.051,77.608,15.381
4191.795,70.718,78.654,15.397
4192.759,71.153,77.335,15.376
4193.726,68.440,74.160,15.765
4194.691,69.416,71.588,15.713
4195.658,73.058,73.882,15.021
4196.624,72.306,76.712,14.092
4197.589,69.741,76.226,13.262
4198.557,71.373,75.982,12.867
4199.523,70.124,78.830,12.746
4200.491,73.020,81.751,12.903
4201.457,73.742,82.375,13.796
4202.426,70.874,85.315,13.589
4203.393,73.699,81.591,12.571
4204.360,72.750,77.820,13.085
4205.330,70.466,78.329,13.921
4206.297,71.436,76.241,14.240
4207.267,71.065,77.426,14.753
4208.235,68.935,74.990,15.606
4209.205,70.790,73.135,15.783
4210.174,72.379,75.134,15.253
4211.142,74.978,79.545,14.686
4212.113,69.574,82.309,14.389
4213.082,71.423,82.643,14.449
4214.054,70.400,81.313,14.630
4215.023,74.357,82.248,14.629
4215.995,76.029,81.354,14.312
4216.965,73.383,77.329,13.932
4217.935,72.246,76.146,14.119
4218.908,71.035,76.184,14.444
4219.878,71.092,75.946,13.837
4220.851,70.943,76.452,13.891
4221.822,70.401,77.786,14.691
4222.796,69.665,77.035,14.637
4223.767,69.602,73.893,14.084
4224.739,69.557,81.010,13.764
4225.713,72.417,82.635,13.039
4226.685,71.199,79.301,11.519
4227.660,70.299,77.080,10.287
4228.633,72.493,77.749,10.587
4229.608,70.553,77.868,12.319
4230.581,71.001,77.554,14.206
4231.554,73.873,77.735,15.121
4232.530,76.527,80.817,14.960
4233.504,78.648,82.908,14.086
4234.480,79.107,81.625,13.605
4235.454,74.525,79.685,13.711
4236.431,72.944,75.240,13.432
4237.405,70.639,68.497,12.890
4238.380,69.388,72.652,12.685
4239.357,70.129,76.532,12.845
4240.333,68.959,72.684,12.873
4241.310,69.586,72.123,13.331
4242.286,69.453,69.830,13.994
4243.264,67.250,69.899,13.827
4244.241,70.318,68.925,13.695
4245.217,70.691,70.178,14.109
4246.196,68.439,74.640,14.824
4247.173,68.528,75.766,15.599
4248.152,70.021,72.997,15.748
4249.129,70.093,69.671,14.644
4250.109,68.770,65.286,13.116
4251.087,68.014,65.335,12.767
4252.065,67.647,69.181,14.013
